"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13292","单交易多次兑换","","Tue May 20 09:36:33 GMT 2025","passed","Tue May 20 09:36:46 GMT 2025","TestSwap","test_1_swap","",""
"","14693","修改他人数据","","Tue May 20 09:37:16 GMT 2025","passed","Tue May 20 09:37:30 GMT 2025","TestSwap","test_1_swap","",""
"","14534","多交易多次兑换","","Tue May 20 09:36:46 GMT 2025","passed","Tue May 20 09:37:01 GMT 2025","TestSwap","test_1_swap","",""
"","11794","正常兑换","","Tue May 20 09:36:21 GMT 2025","passed","Tue May 20 09:36:33 GMT 2025","TestSwap","test_1_swap","",""
"","14565","修改本人数据","","Tue May 20 09:37:01 GMT 2025","passed","Tue May 20 09:37:16 GMT 2025","TestSwap","test_1_swap","",""
"","12403","无gas/FLON,调用合约应失败","","Tue May 20 09:37:30 GMT 2025","passed","Tue May 20 09:37:43 GMT 2025","TestSwap","test_1_swap","",""
